Group	Try	Number.sessions	Total.Session	Experiment	Temperature	Total.pollen	Included	Not.Included
1	K	4	18	EPM	20C	56	2	16
1	L	4	6	EPM	20C	56	1	5
1	M	4	7	EPM	20C	56	2	5
1	N	4	25	EPM	20C	56	2	23
2	O	4	14	EPM	10C	65	4	10
2	P	4	26	EPM	10C	65	8	18
2	Q	4	12	EPM	10C	65	4	8
2	R	4	13	EPM	10C	65	4	9
3	A	3	25	GPT	20C	61	3	22
3	B	3	26	GPT	20C	61	7	19
3	C	3	10	GPT	20C	61	1	9
4	D	7	17	GPT	10C	119	5	12
4	E	7	16	GPT	10C	119	5	11
4	F	7	18	GPT	10C	119	8	10
4	G	7	20	GPT	10C	119	6	14
4	H	7	21	GPT	10C	119	13	8
4	I	7	20	GPT	10C	119	14	6
4	J	7	7	GPT	10C	119	5	2
